ADSID,IBRA_REGION,LONGITUDE,LATITUDE,SITE,SITE_TYPE,LAB_CODE,AGE,ERROR,C13_AGE,C13_ERROR,MATERIAL,MATERIAL_TOP_LEVEL,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES
,Pilbara,116.50772,-20.608342,Enderby Island EIA02-001,Midden,Wk-44890,7700,20,,,Terebralia,Marine Shell,,4,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.50772,-20.608342,Enderby Island EIA02-001,Midden,Wk-44892,7746,20,,,Terebralia,Marine Shell,,6,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.50772,-20.608342,Enderby Island EIA02-001,Midden,Wk-44894,7482,20,,,Terebralia,Marine Shell,,8,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.50772,-20.608342,Enderby Island EIA02-001,Midden,Wk-44896,8465,24,,,Terebralia,Marine Shell,,27,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.50772,-20.608342,Enderby Island Square 562910,Midden,Wk-46103,653,0,,,Terebralia,Marine Shell,,,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.50772,-20.608342,Enderby Island Square 562910,Midden,WK-46104,817,0,,,Chiton,Marine Shell,,,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.50772,-20.608342,Enderby Island Square 562910,Midden,Wk-44899,1716,0,,,Dentalium,Marine Shell,,,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.50772,-20.608342,Enderby Island Square 562910,Midden,Wk-44900,208,0,,,C14-hearth feature,Charcoal,,,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.508,-20.608,Enderby Island Square 562910,Midden,WK-44901,1839,0,,,Dentalium,Marine Shell,,,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
,Pilbara,116.508,-20.608,Enderby Island Square 562910,Midden,Wk-46105,8504,0,,,Terebralia,Marine Shell,,,Radiocarbon,,Marine,,Yes,McDonald Murujuga Book 2023 Chapter 6,Provided to author,,,,
