region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,142,369744,1952044,9,11094621,0.9787886459453952,2
Great Barrier Reef,707,418074,4427084,7,26962152,0.9787886459453952,2
Gulf of Carpentaria,414,587618,4205221,34,9332726,0.9787886459453952,2
Kangaroo Island Area,65,458635,925996,9,7049620,0.9787886459453952,2
Kimberley,548,139517,3318415,19,12252812,0.9787886459453952,2
Pilbara/Canarvon,115,24415,640934,10,2862816,0.9787886459453952,2
South West,126,11724,484251,12,5145082,0.9787886459453952,2
Southern Tasmania,40,54755,551254,2,6134346,0.9787886459453952,2
Sydney Area,67,17310,371442,10,3685980,0.9787886459453952,2
Tiwi-Coburg,106,825662,2263536,12,5580280,0.9787886459453952,2
Torres Strait,238,207886,2048810,6,6377009,0.9787886459453952,2
NA,469,1257886,6895871,17,39335822,0.9787886459453952,2
