region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level
Bass Strait,13,936,44366,9,207073,-120
Great Barrier Reef,8,390,23127,6,242404,-120
Kangaroo Island Area,35,2544,124601,12,452687,-120
Kimberley,338,388073,4014518,15,15524547,-120
Pilbara/Canarvon,11,2546,51445,10,186808,-120
Southern Tasmania,22,16438,165189,5,1269119,-120
Sydney Area,23,968,64663,14,243452,-120
Tiwi-Coburg,28,2633,99116,5,281406,-120
Torres Strait,42,158893,604587,6,4099355,-120
NA,162,2823953,4874901,20,40701521,-120
