region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level
Bass Strait,121,381424,1862372,6,10828913,0
Great Barrier Reef,1068,475432,6250338,6,28790460,0
Gulf of Carpentaria,233,585383,3828104,23,8746965,0
Kangaroo Island Area,61,462528,933074,7,7093562,0
Kimberley,453,145470,3189567,19,12048368,0
Pilbara/Canarvon,91,25564,649904,10,2698916,0
South West,113,12801,482835,9,5085354,0
Southern Tasmania,29,55851,538510,2,5952754,0
Sydney Area,25,1844,93924,11,2244028,0
Tiwi-Coburg,83,838807,2139881,11,5631792,0
Torres Strait,202,223496,2218242,6,6520811,0
NA,429,1287836,6927958,18,39195404,0
